GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000162458	1	16083102	16113089	2	1	562	4.1524	1.6449e-05	FBLIM1
ENSG00000156869	1	100174259	100232187	5	1	562	4.0408	2.6631e-05	FRRS1
ENSG00000182901	1	240931554	241520530	1	1	562	4.7384	1.0772e-06	RGS7
ENSG00000138035	2	55861400	55921045	8	1	562	4.5648	2.5002e-06	PNPT1
ENSG00000172292	2	169312372	169631644	2	1	562	4.6107	2.0066e-06	CERS6
ENSG00000144724	3	61547243	62283288	1	1	562	4.7891	8.3771e-07	PTPRG
ENSG00000185565	3	115521235	117716095	1	1	562	4.2758	9.5243e-06	LSAMP
ENSG00000145191	3	183852826	184402546	1	1	562	5.2191	8.9877e-08	EIF2B5
ENSG00000145888	5	151202074	151304403	4	1	562	4.2566	1.0379e-05	GLRA1
ENSG00000106460	7	12250867	12282993	99	1	562	4.3765	6.03e-06	TMEM106B
ENSG00000164741	8	12940870	13373167	2	1	562	4.1769	1.4778e-05	DLC1
ENSG00000173068	9	16409501	16870841	1	1	562	4.3838	5.831e-06	BNC2
ENSG00000182255	11	30031288	30038570	1	1	562	5.0612	2.0833e-07	KCNA4
ENSG00000108684	17	31340105	32501983	1	1	562	4.3184	7.8569e-06	ASIC2
ENSG00000154920	17	48450581	48458844	1	1	562	4.4781	3.766e-06	EME1
ENSG00000108829	17	48452420	48474914	3	1	562	4.0548	2.5089e-05	LRRC59
ENSG00000189190	19	53267448	53290044	1	1	562	4.3306	7.4356e-06	ZNF600
ENSG00000101349	20	9518036	9819689	1	1	562	4.3583	6.5526e-06	PAK7
